INDPB,MUTPB,CXPB,AEP
0.05,0.95,0.6,6905940.044801592
0.05,0.95,0.65,6898279.407930071
0.05,0.95,0.7,6945906.703589715
0.05,0.95,0.75,6963125.81844583
0.05,0.95,0.8,6958590.063304272
0.05,0.95,0.85,6956925.229742525
0.05,0.95,0.9,7001254.981375915
0.05,0.95,0.95,7028527.286088617
0.05,0.95,1.0,6609206.033875579
0.05,1.0,0.05,6607175.402614648
0.05,1.0,0.1,6655958.759751303
0.05,1.0,0.15,6680419.356180688
0.05,1.0,0.2,6687772.199324956
0.05,1.0,0.25,6760531.441263248
0.05,1.0,0.3,6782699.982357653
0.05,1.0,0.35,6820197.6695743725
0.05,1.0,0.4,6878705.542899573
0.05,1.0,0.45,6863143.784794763
0.05,1.0,0.5,6908344.14577122
0.05,1.0,0.55,6886165.212420411
0.05,1.0,0.6,6909964.809293292
0.05,1.0,0.65,6937547.442099748
0.05,1.0,0.7,6941755.080270775
0.05,1.0,0.75,6961887.508365018
0.05,1.0,0.8,6946277.188708408
0.05,1.0,0.85,6965876.528533155
0.05,1.0,0.9,6974219.160661668
0.05,1.0,0.95,6711925.197708733
0.05,1.0,1.0,6643164.398305668
0.1,0.05,0.05,6541892.73033446
0.1,0.05,0.1,6576100.941811599
0.1,0.05,0.15,6579624.651627931
0.1,0.05,0.2,6719060.099021781
0.1,0.05,0.25,6733252.45959978
0.1,0.05,0.3,6723227.045428877
0.1,0.05,0.35,6767548.05001506
0.1,0.05,0.4,6858894.720173363
0.1,0.05,0.45,6861027.481588233
0.1,0.05,0.5,6878123.489051262
0.1,0.05,0.55,6927598.506428028
0.1,0.05,0.6,6934580.987974403
0.1,0.05,0.65,6913810.589016287
0.1,0.05,0.7,6941977.034560365
0.1,0.05,0.75,6942332.538252389
0.1,0.05,0.8,6938807.225208923
0.1,0.05,0.85,6945700.615585466
0.1,0.05,0.9,6988697.977577487
0.1,0.05,0.95,7006912.941628536
0.1,0.05,1.0,6659673.372400069
0.1,0.1,0.05,6594352.424471956
0.1,0.1,0.1,6625605.673728308
0.1,0.1,0.15,6596608.278543122
0.1,0.1,0.2,6687660.776535352
0.1,0.1,0.25,6693108.161983131
0.1,0.1,0.3,6779046.978138506
0.1,0.1,0.35,6809855.105447342
0.1,0.1,0.4,6867382.898148857
0.1,0.1,0.45,6824159.964581995
0.1,0.1,0.5,6920461.326169016
0.1,0.1,0.55,6895010.792112266
0.1,0.1,0.6,6930470.54452008
0.1,0.1,0.65,6928699.624497556
0.1,0.1,0.7,6931970.169356532
0.1,0.1,0.75,6946212.523107419
0.1,0.1,0.8,6945227.533270904
0.1,0.1,0.85,6961392.069734212
0.1,0.1,0.9,6939110.200160936
0.1,0.1,0.95,6974379.546791677
0.1,0.1,1.0,6659955.784059998
0.1,0.15,0.05,6725376.583196344
0.1,0.15,0.1,6655911.959882462
0.1,0.15,0.15,6603253.837392936
0.1,0.15,0.2,6670520.86526097
0.1,0.15,0.25,6669560.328527716
0.1,0.15,0.3,6777756.207709668
0.1,0.15,0.35,6814067.465495946
0.1,0.15,0.4,6403774.340091037
0.1,0.15,0.45,6859771.248004457
0.1,0.15,0.5,6899375.38874435
0.1,0.15,0.55,6904780.45572767
0.1,0.15,0.6,6907723.580740715
0.1,0.15,0.65,6939192.958979977
0.1,0.15,0.7,6963462.653846756
0.1,0.15,0.75,6978046.162661334
0.1,0.15,0.8,6946511.657195674
0.1,0.15,0.85,6969102.517571257
0.1,0.15,0.9,6978512.716958798
0.1,0.15,0.95,7006672.6875266405
0.1,0.15,1.0,6642125.368116759
0.1,0.2,0.05,6634684.646193167
0.1,0.2,0.1,6669451.182271049
0.1,0.2,0.15,6673367.5498929415
0.1,0.2,0.2,6720676.56152642
0.1,0.2,0.25,6722961.2855446525
0.1,0.2,0.3,6751087.030683309
0.1,0.2,0.35,6770644.314928906
0.1,0.2,0.4,6873720.464890632
0.1,0.2,0.45,6904087.67866107
0.1,0.2,0.5,6892460.457178714
0.1,0.2,0.55,6924182.516809906
0.1,0.2,0.6,6925887.0154912695
0.1,0.2,0.65,6931362.14335412
0.1,0.2,0.7,6935589.447592193
