INDPB,MUTPB,CXPB,AEP
0.05,0.7,1.0,410123.1554665127
0.05,0.75,0.05,387755.21000806446
0.05,0.75,0.1,380198.5890825237
0.05,0.75,0.15,384039.28635273135
0.05,0.75,0.2,395260.80102192995
0.05,0.75,0.25,378304.4274603905
0.05,0.75,0.3,382315.7904014328
0.05,0.75,0.35,392800.92082437803
0.05,0.75,0.4,405647.8285006757
0.05,0.75,0.45,404470.4241788244
0.05,0.75,0.5,405170.89753348904
0.05,0.75,0.55,407174.41942078486
0.05,0.75,0.6,406293.4256201591
0.05,0.75,0.65,404230.30512029305
0.05,0.75,0.7,408764.01489308185
0.05,0.75,0.75,405240.8404206591
0.05,0.75,0.8,408845.5025065618
0.05,0.75,0.85,408147.95488756476
0.05,0.75,0.9,407674.75615575106
0.05,0.75,0.95,409997.4831195205
0.05,0.75,1.0,412115.39666008385
0.05,0.8,0.05,383224.094294996
0.05,0.8,0.1,382714.9689115877
0.05,0.8,0.15,395182.94493096473
0.05,0.8,0.2,402190.52422010736
0.05,0.8,0.25,386570.2293664109
0.05,0.8,0.3,400391.18135292165
0.05,0.8,0.35,401871.2671117456
0.05,0.8,0.4,381928.530878549
0.05,0.8,0.45,393642.42441707477
0.05,0.8,0.5,398296.8323576049
0.05,0.8,0.55,407311.64612584317
0.05,0.8,0.6,406921.94752221485
0.05,0.8,0.65,407781.0009139473
0.05,0.8,0.7,404013.88890053215
0.05,0.8,0.75,414650.897511077
0.05,0.8,0.8,409284.6406037426
0.05,0.8,0.85,410262.20074006077
0.05,0.8,0.9,408264.4465283585
0.05,0.8,0.95,409575.81650788663
0.05,0.8,1.0,410045.35248812434
0.05,0.85,0.05,384298.0774679885
0.05,0.85,0.1,387484.38302181015
0.05,0.85,0.15,395722.28696630115
0.05,0.85,0.2,394611.37696230225
0.05,0.85,0.25,387102.32016868406
0.05,0.85,0.3,379980.5629346135
0.05,0.85,0.35,398797.12686513935
0.05,0.85,0.4,408097.2124847239
0.05,0.85,0.45,382551.6902993871
0.05,0.85,0.5,408374.4948903705
0.05,0.85,0.55,408995.29312010715
0.05,0.85,0.6,407036.3723825342
0.05,0.85,0.65,406966.57499715494
0.05,0.85,0.7,407557.23660467967
0.05,0.85,0.75,409173.0707079902
0.05,0.85,0.8,408627.4347654276
0.05,0.85,0.85,407278.6892089518
0.05,0.85,0.9,412329.9158146066
0.05,0.85,0.95,410227.1750758741
0.05,0.85,1.0,406556.92631294637
0.05,0.9,0.05,386567.0530637641
0.05,0.9,0.1,381113.2927640267
0.05,0.9,0.15,389891.9620380966
0.05,0.9,0.2,394030.08874611836
0.05,0.9,0.25,382036.1011572827
0.05,0.9,0.3,398379.90497508604
0.05,0.9,0.35,400617.23027715355
0.05,0.9,0.4,384637.73701903666
0.05,0.9,0.45,399298.05618955626
0.05,0.9,0.5,385834.9244886313
0.05,0.9,0.55,402918.34096843353
0.05,0.9,0.6,408591.1089496333
0.05,0.9,0.65,405934.8429008166
0.05,0.9,0.7,408421.1554981803
0.05,0.9,0.75,410029.87022607785
0.05,0.9,0.8,410007.7810854904
0.05,0.9,0.85,411308.1323793293
0.05,0.9,0.9,411795.3027917398
0.05,0.9,0.95,409374.8469172586
0.05,0.9,1.0,410948.93557797826
0.05,0.95,0.05,382076.34070130665
0.05,0.95,0.1,393482.5569240386
0.05,0.95,0.15,396680.8894737354
0.05,0.95,0.2,384413.37417750095
0.05,0.95,0.25,406677.54258279677
0.05,0.95,0.3,400207.95549987775
0.05,0.95,0.35,380372.3468377895
0.05,0.95,0.4,405925.8366613311
0.05,0.95,0.45,405641.4160441298
0.05,0.95,0.5,401961.37300063134
0.05,0.95,0.55,404794.68751384737
0.05,0.95,0.6,408769.03793149116
0.05,0.95,0.65,407340.76709760877
0.05,0.95,0.7,404492.26117528905
0.05,0.95,0.75,405800.85785852926
0.05,0.95,0.8,404874.32910241233
0.05,0.95,0.85,408790.0543314157
0.05,0.95,0.9,409497.08794644655
0.05,0.95,0.95,410047.4043582255
0.05,0.95,1.0,409807.6627893212
0.05,1.0,0.05,382469.0358773191
0.05,1.0,0.1,390142.72601561353
0.05,1.0,0.15,386355.9786960535
0.05,1.0,0.2,392836.5841764669
0.05,1.0,0.25,399789.05128004495
0.05,1.0,0.3,384974.6163202326
0.05,1.0,0.35,398765.0874565989
0.05,1.0,0.4,399944.82232452044
0.05,1.0,0.45,406094.99470213254
0.05,1.0,0.5,401825.54069707054
