INDPB,MUTPB,CXPB,AEP
0.05,0.75,0.15,1336279.3271403671
0.05,0.75,0.2,1347609.5479197442
0.05,0.75,0.25,1347753.5828530518
0.05,0.75,0.3,1348645.220149788
0.05,0.75,0.35,1342723.076394125
0.05,0.75,0.4,1364637.5793685517
0.05,0.75,0.45,1346749.019178888
0.05,0.75,0.5,1347523.718459981
0.05,0.75,0.55,1355759.5573223298
0.05,0.75,0.6,1336393.48122182
0.05,0.75,0.65,1350011.0218884903
0.05,0.75,0.7,1342279.9000410265
0.05,0.75,0.75,1468685.2357961868
0.05,0.75,0.8,1350249.9273083177
0.05,0.75,0.85,1344631.3169559021
0.05,0.75,0.9,1355185.1793587112
0.05,0.75,0.95,1347452.9620971987
0.05,0.75,1.0,1355062.8880283171
0.05,0.8,0.05,1341493.0952085778
0.05,0.8,0.1,1345418.783375293
0.05,0.8,0.15,1350277.217577577
0.05,0.8,0.2,1350565.766400591
0.05,0.8,0.25,1350606.7288561435
0.05,0.8,0.3,1348310.6129317963
0.05,0.8,0.35,1344651.927745177
0.05,0.8,0.4,1350216.055542348
0.05,0.8,0.45,1434397.6908341835
0.05,0.8,0.5,1353423.113814291
0.05,0.8,0.55,1342148.0849307068
0.05,0.8,0.6,1352670.145750472
0.05,0.8,0.65,1340093.5638453206
0.05,0.8,0.7,1341973.5762043344
0.05,0.8,0.75,1356840.2915315793
0.05,0.8,0.8,1345078.6443015605
0.05,0.8,0.85,1343541.3731760508
0.05,0.8,0.9,1358037.8041625964
0.05,0.8,0.95,1350282.311935109
0.05,0.8,1.0,1346999.402417678
0.05,0.85,0.05,1338908.504176011
0.05,0.85,0.1,1344039.2404673828
0.05,0.85,0.15,1349488.811320573
0.05,0.85,0.2,1352149.9216819105
0.05,0.85,0.25,1350983.2999909641
0.05,0.85,0.3,1348930.2785649272
0.05,0.85,0.35,1338015.4702378367
0.05,0.85,0.4,1351645.4691738826
0.05,0.85,0.45,1354414.9888010628
0.05,0.85,0.5,1351383.9022974488
0.05,0.85,0.55,1359730.9340727497
0.05,0.85,0.6,1355057.9368662136
0.05,0.85,0.65,1345548.7131606927
0.05,0.85,0.7,1349354.9506429809
0.05,0.85,0.75,1345251.5208795478
0.05,0.85,0.8,1348967.6503125094
0.05,0.85,0.85,1350818.0491001462
0.05,0.85,0.9,1347061.685984766
0.05,0.85,0.95,1345664.4398318082
0.05,0.85,1.0,1344793.3487365886
0.05,0.9,0.05,1340332.6142415833
0.05,0.9,0.1,1338498.2853773087
0.05,0.9,0.15,1339121.9187699384
0.05,0.9,0.2,1349319.2016162192
0.05,0.9,0.25,1337900.3842641644
0.05,0.9,0.3,1343210.3594624046
0.05,0.9,0.35,1351424.4829406957
0.05,0.9,0.4,1350020.2091452405
0.05,0.9,0.45,1437742.3173068706
0.05,0.9,0.5,1340355.8158081612
0.05,0.9,0.55,1349566.556294828
0.05,0.9,0.6,1346596.8972245902
0.05,0.9,0.65,1350643.235995713
0.05,0.9,0.7,1346070.4750283035
0.05,0.9,0.75,1351356.1816242675
0.05,0.9,0.8,1342316.9549892736
0.05,0.9,0.85,1348545.6603758521
0.05,0.9,0.9,1350724.1327466469
0.05,0.9,0.95,1348932.8066927595
0.05,0.9,1.0,1350125.8738138964
0.05,0.95,0.05,1343811.0131107625
0.05,0.95,0.1,1357302.225135522
0.05,0.95,0.15,1347543.5420512934
0.05,0.95,0.2,1342513.8761972743
0.05,0.95,0.25,1337088.3102192325
0.05,0.95,0.3,1343496.844552762
0.05,0.95,0.35,1339953.4488210427
0.05,0.95,0.4,1358673.6239434176
0.05,0.95,0.45,1371021.948046402
0.05,0.95,0.5,1342417.0885152505
0.05,0.95,0.55,1347679.0491354126
0.05,0.95,0.6,1355230.7176405392
0.05,0.95,0.65,1352927.4873331815
0.05,0.95,0.7,1342474.8661439843
0.05,0.95,0.75,1354783.6391794072
0.05,0.95,0.8,1345439.9598604774
0.05,0.95,0.85,1349834.4243651857
0.05,0.95,0.9,1349834.424362422
0.05,0.95,0.95,1351406.1445555973
0.05,0.95,1.0,1344861.45645179
0.05,1.0,0.05,1344949.8225163165
0.05,1.0,0.1,1350686.7570901124
0.05,1.0,0.15,1342075.0660459944
0.05,1.0,0.2,1348517.273762533
0.05,1.0,0.25,1352247.078312964
0.05,1.0,0.3,1347277.1550108464
0.05,1.0,0.35,1341024.2601395596
0.05,1.0,0.4,1345542.4685575794
0.05,1.0,0.45,1342204.3412131309
0.05,1.0,0.5,1347952.418903234
0.05,1.0,0.55,1443007.408287005
0.05,1.0,0.6,1337451.0117830844
0.05,1.0,0.65,1344275.3727682044
0.05,1.0,0.7,1342143.7838900858
0.05,1.0,0.75,1352771.5841143923
0.05,1.0,0.8,1348884.515405714
0.05,1.0,0.85,1349186.284811592
0.05,1.0,0.9,1344893.7142832186
0.05,1.0,0.95,1351000.6010768134
0.05,1.0,1.0,1348127.7373280793
0.1,0.05,0.05,1346453.2271066124
0.1,0.05,0.1,1333734.099012748
0.1,0.05,0.15,1332981.8217984037
0.1,0.05,0.2,1330448.2412228207
0.1,0.05,0.25,1339986.9002316012
0.1,0.05,0.3,1342776.8045521644
0.1,0.05,0.35,1341655.0075903307
0.1,0.05,0.4,1330806.2120931896
0.1,0.05,0.45,1344496.847747598
0.1,0.05,0.5,1444875.3332671858
0.1,0.05,0.55,1334197.3703559772
0.1,0.05,0.6,1360722.993290007
0.1,0.05,0.65,1339211.7457304276
0.1,0.05,0.7,1344973.2224125967
0.1,0.05,0.75,1351158.1418915484
0.1,0.05,0.8,1465531.6987158994
0.1,0.05,0.85,1333772.716992339
0.1,0.05,0.9,1338350.8415098411
0.1,0.05,0.95,1336745.1296578636
0.1,0.05,1.0,1350553.3205203428
0.1,0.1,0.05,1336193.1443060962
0.1,0.1,0.1,1326381.9170049648
0.1,0.1,0.15,1349577.7025472994
0.1,0.1,0.2,1328291.908042076
0.1,0.1,0.25,1335033.7672073422
0.1,0.1,0.3,1332849.2519736933
0.1,0.1,0.35,1345716.758033746
0.1,0.1,0.4,1319413.1314008825
0.1,0.1,0.45,1329614.2480838695
0.1,0.1,0.5,1350075.37146748
0.1,0.1,0.55,1350940.0455645774
0.1,0.1,0.6,1336567.1262727587
0.1,0.1,0.65,1354562.8137606655
0.1,0.1,0.7,1338918.16543921
0.1,0.1,0.75,1330937.8822387727
0.1,0.1,0.8,1331387.3322053407
0.1,0.1,0.85,1338340.0288840388
0.1,0.1,0.9,1341351.5349755432
0.1,0.1,0.95,1342339.2995936512
0.1,0.1,1.0,1357005.9264504805
0.1,0.15,0.05,1335764.1819789032
