Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,LCOE_Proxy_USD_MWh,Gross_AEP_GWh,Wake_Loss_Percentage,Electrical_Loss_Percentage,Electrical_Loss_MWh,Total_Cable_Length_km,Substation_Eccentricity_m,Num_Cable_Strings,Avg_Turbines_Per_String,Std_Turbines_Per_String,Cable_Sections_Used,Time_Total_s,Time_Phase1_s,Time_Phase2_s,Final_Hypervolume,Pareto_Spread,Num_Solutions_Pareto,Feasibility_Rate_Final
11,1376368675,Proposed,64,1509.435432,2028727.564137,1.344031,1520.170268,0.000000,0.706160,10734.836795,161.408804,0.000000,44,1.454545,0.497930,,2674.985019,0.000000,0.000000,23402516487495.351562,0.108788,3,100.000000
12,854269186,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4522.488752,0.000000,0.000000,6779932079368.818359,0.000000,22,100.000000
12,854269186,Sequential,64,1474.979617,4999483.224719,3.389527,1530.000754,0.000000,3.596151,55021.137569,116.006727,283.186876,5,12.800000,0.400000,,3362.265908,0.000000,0.000000,24728525612187.921875,0.000000,1,100.000000
12,854269186,Proposed,64,1473.181993,2042642.163455,1.386551,1481.623703,0.000000,0.569761,8441.709871,162.515872,0.000000,51,1.254902,0.435806,,2464.837453,0.000000,0.000000,22384847991332.183594,0.111692,3,100.000000
13,477745829,Baseline,64,1287.607691,1510232.603844,1.172898,1294.487413,0.000000,0.531463,6879.722063,120.156517,50.000000,49,1.306122,0.460881,,4505.805498,0.000000,0.000000,6779932079368.818359,0.000000,24,100.000000
13,477745829,Sequential,64,1500.725092,3713252.171523,2.474305,1531.874029,0.000000,2.033388,31148.936920,86.161352,294.536868,6,10.666667,0.471405,,3322.873539,0.000000,0.000000,25455723351004.277344,0.000000,1,100.000000
13,477745829,Proposed,64,1509.308827,1949135.459602,1.291409,1520.604002,0.000000,0.742808,11295.175354,155.076329,0.000000,43,1.488372,0.499865,,2636.662911,0.000000,0.000000,23118020020516.753906,0.000000,2,100.000000
14,211387760,Baseline,64,1316.385100,2843763.930802,2.160283,1352.074425,0.000000,2.639598,35689.325334,65.985969,1150.224242,5,12.800000,0.400000,,6543.878935,0.000000,0.000000,23708855111196.378906,0.052016,257,100.000000
14,211387760,Sequential,64,1484.896293,4710707.346185,3.172415,1534.393706,0.000000,3.225861,49497.412904,109.306046,245.866869,5,12.800000,0.400000,,3369.227553,0.000000,0.000000,24798302731112.273438,0.000000,1,100.000000
14,211387760,Proposed,64,1470.748096,1931046.240875,1.312969,1481.987607,0.000000,0.758408,11239.510443,153.637122,0.000000,42,1.523810,0.499433,,2737.711871,0.000000,0.000000,23263906767065.562500,0.000000,1,100.000000
15,2107640364,Baseline,64,1302.576289,2726207.142419,2.092935,1326.703812,0.000000,1.818607,24127.523130,63.258212,657.491775,6,10.666667,0.471405,,6574.360399,0.000000,0.000000,23431133378301.332031,0.106718,5,100.000000
15,2107640364,Sequential,64,1481.349068,3985346.464280,2.690349,1517.631490,0.000000,2.390727,36282.421412,92.474958,330.161988,6,10.666667,0.471405,,3349.062849,0.000000,0.000000,25221608716425.933594,0.000000,1,100.000000
15,2107640364,Proposed,64,1462.508880,1803874.674663,1.233411,1471.100773,0.000000,0.584045,8591.893446,143.519149,0.000000,48,1.333333,0.471405,,2692.830330,0.000000,0.000000,22975710110125.171875,0.332545,3,100.000000
16,1932282710,Baseline,64,1287.607691,1510232.603844,1.172898,1294.487413,0.000000,0.531463,6879.722063,120.156517,50.000000,49,1.306122,0.460881,,4543.543180,0.000000,0.000000,6779932079368.818359,0.000000,23,100.000000
16,1932282710,Sequential,64,1475.699326,4600169.586971,3.117281,1519.326088,0.000000,2.871455,43626.762150,106.741156,295.438433,5,12.800000,0.400000,,3374.756285,0.000000,0.000000,24898163619883.472656,0.000000,1,100.000000
16,1932282710,Proposed,64,1505.428390,1978696.933601,1.314375,1516.642137,0.000000,0.739380,11213.746925,157.428287,0.000000,42,1.523810,0.499433,,2755.229729,0.000000,0.000000,23974896641953.753906,0.000000,1,100.000000
17,1381614143,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4522.469160,0.000000,0.000000,6779932079368.818359,0.000000,25,100.000000
17,1381614143,Sequential,64,1485.474326,4501867.140186,3.030592,1524.425211,0.000000,2.555119,38950.884590,104.460171,678.554217,6,10.666667,0.471405,,3323.581100,0.000000,0.000000,25383568673414.644531,0.000000,1,100.000000
17,1381614143,Proposed,64,1484.818428,1956799.014991,1.317871,1495.044283,0.000000,0.683983,10225.854403,155.686054,0.000000,44,1.454545,0.497930,,2683.211330,0.000000,0.000000,22801999718413.816406,0.000000,1,100.000000
18,693748771,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4520.696430,0.000000,0.000000,6779932079368.818359,0.000000,26,100.000000
18,693748771,Sequential,64,1472.940816,4999681.658585,3.394353,1535.049614,0.000000,4.046045,62108.798248,116.011332,317.994266,5,12.800000,0.400000,,3366.524952,0.000000,0.000000,24991619637392.113281,0.000000,1,100.000000
18,693748771,Proposed,64,1511.289067,2028566.492974,1.342276,1521.458807,0.000000,0.668420,10169.739867,161.395989,0.000000,47,1.361702,0.480493,,2560.476937,0.000000,0.000000,23664110681381.375000,0.000000,2,100.000000
19,1075831821,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4505.025132,0.000000,0.000000,6779932079368.818359,0.000000,17,100.000000
19,1075831821,Sequential,64,1468.381237,4157617.842401,2.831429,1522.395285,0.000000,3.547965,54014.048026,96.472299,106.625167,5,12.800000,0.400000,,3369.497465,0.000000,0.000000,24476684022655.925781,0.000000,1,100.000000
19,1075831821,Proposed,64,1481.182869,1905837.695374,1.286700,1490.689624,0.000000,0.637742,9506.755070,151.631490,0.000000,47,1.361702,0.480493,,2544.884004,0.000000,0.000000,23231639600394.683594,0.291987,4,100.000000
20,731232644,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4538.143471,0.000000,0.000000,6779932079368.818359,0.000000,30,100.000000
20,731232644,Sequential,64,1482.586762,3872947.111572,2.612290,1529.716070,0.000000,3.080919,47129.307750,89.866872,456.995693,5,12.800000,0.400000,,3393.445189,0.000000,0.000000,24973287017501.164062,0.000000,1,100.000000
20,731232644,Proposed,64,1496.817041,1995705.716896,1.333300,1507.679682,0.000000,0.720487,10862.641485,158.781533,0.000000,43,1.488372,0.499865,,2711.880505,0.000000,0.000000,22749344394208.144531,0.000000,2,100.000000
