INDPB,MUTPB,CXPB,AEP
0.05,0.15,0.95,9011918.305052109
0.05,0.15,1.0,8433849.17352369
0.05,0.2,0.05,8344038.807958778
0.05,0.2,0.1,7435056.981842438
0.05,0.2,0.15,8407226.131329786
0.05,0.2,0.2,8546550.569936126
0.05,0.2,0.25,8604055.223938534
0.05,0.2,0.3,8684394.945845058
0.05,0.2,0.35,8621488.980292985
0.05,0.2,0.4,8711548.654408686
0.05,0.2,0.45,8811815.992887244
0.05,0.2,0.5,8787275.916704766
0.05,0.2,0.55,8881619.246152356
0.05,0.2,0.6,8904603.766699959
0.05,0.2,0.65,8901322.449731896
0.05,0.2,0.7,8892296.6775773
0.05,0.2,0.75,8915355.182862816
0.05,0.2,0.8,8939587.795522077
0.05,0.2,0.85,8950889.712126825
0.05,0.2,0.9,8941857.62533641
0.05,0.2,0.95,9020876.673609503
0.05,0.2,1.0,8461860.069225928
0.05,0.25,0.05,8400513.919118099
0.05,0.25,0.1,7399058.276213773
0.05,0.25,0.15,8457045.014844777
0.05,0.25,0.2,8539902.924195033
0.05,0.25,0.25,8608305.28079292
0.05,0.25,0.3,8597019.197748492
0.05,0.25,0.35,8674077.887835095
0.05,0.25,0.4,8751196.254044728
0.05,0.25,0.45,8801410.77482072
0.05,0.25,0.5,8838123.427128848
0.05,0.25,0.55,8840740.300280772
0.05,0.25,0.6,8886096.148454914
0.05,0.25,0.65,8888868.259807428
0.05,0.25,0.7,8917966.389051229
0.05,0.25,0.75,8923555.42349872
0.05,0.25,0.8,8907624.067145027
0.05,0.25,0.85,8899464.95943731
0.05,0.25,0.9,8932253.671494335
0.05,0.25,0.95,8515936.127191767
0.05,0.25,1.0,8422617.452165589
0.05,0.3,0.05,8354650.509615457
0.05,0.3,0.1,8351648.276878074
0.05,0.3,0.15,8539216.27665628
0.05,0.3,0.2,8602906.936527308
0.05,0.3,0.25,8594485.703817688
0.05,0.3,0.3,8652809.572304754
0.05,0.3,0.35,8647462.76110613
0.05,0.3,0.4,8715983.937869538
0.05,0.3,0.45,8766031.196350684
0.05,0.3,0.5,8852623.028261105
0.05,0.3,0.55,8849028.850000897
0.05,0.3,0.6,8925085.450249042
0.05,0.3,0.65,8844386.546621105
0.05,0.3,0.7,8919802.359245386
0.05,0.3,0.75,8943881.94515127
0.05,0.3,0.8,8966722.199048534
0.05,0.3,0.85,8937761.887749836
0.05,0.3,0.9,8972330.808638426
0.05,0.3,0.95,8541821.605039978
0.05,0.3,1.0,8426841.05521565
0.05,0.35,0.05,8371210.00256511
0.05,0.35,0.1,8390172.912971305
0.05,0.35,0.15,8550930.609755319
0.05,0.35,0.2,8537623.274731006
0.05,0.35,0.25,8470447.196450777
0.05,0.35,0.3,8621943.051497852
0.05,0.35,0.35,8661526.575943902
0.05,0.35,0.4,8715899.841349013
0.05,0.35,0.45,8761867.29321574
0.05,0.35,0.5,8784780.49163608
0.05,0.35,0.55,8787537.600332364
0.05,0.35,0.6,8864953.136549998
0.05,0.35,0.65,8879503.916680226
0.05,0.35,0.7,8893053.884801894
0.05,0.35,0.75,8889171.526215814
0.05,0.35,0.8,8922861.127148312
0.05,0.35,0.85,8912732.448364884
0.05,0.35,0.9,8987194.140133766
0.05,0.35,0.95,8498365.90395307
0.05,0.35,1.0,8420231.631176721
0.05,0.4,0.05,8292500.178564547
0.05,0.4,0.1,8440232.075357892
0.05,0.4,0.15,8525049.538172785
0.05,0.4,0.2,8543192.95143162
0.05,0.4,0.25,8604948.026965156
0.05,0.4,0.3,8638647.368575754
0.05,0.4,0.35,8608507.678377997
0.05,0.4,0.4,8766225.969836392
0.05,0.4,0.45,8706503.718200501
0.05,0.4,0.5,8786708.097753014
0.05,0.4,0.55,8846006.7290028
0.05,0.4,0.6,8840731.767257804
0.05,0.4,0.65,8901109.361674411
0.05,0.4,0.7,8887170.278891632
0.05,0.4,0.75,8916412.483074388
0.05,0.4,0.8,8932976.23036217
0.05,0.4,0.85,8933769.807678534
0.05,0.4,0.9,8932122.147824569
0.05,0.4,0.95,8513061.202092707
0.05,0.4,1.0,8422516.040201934
0.05,0.45,0.05,8361889.352634147
0.05,0.45,0.1,8452849.56924557
0.05,0.45,0.15,8566325.484263504
0.05,0.45,0.2,8551753.650576394
0.05,0.45,0.25,8644950.80431944
0.05,0.45,0.3,8547951.04101427
0.05,0.45,0.35,8728288.321523353
0.05,0.45,0.4,8691544.329711916
0.05,0.45,0.45,8772072.953625578
0.05,0.45,0.5,8798183.633917496
0.05,0.45,0.55,8446941.692593306
0.05,0.45,0.6,8884864.868685592
0.05,0.45,0.65,8858116.01010009
0.05,0.45,0.7,8904942.109115334
0.05,0.45,0.75,8924189.047379859
0.05,0.45,0.8,8939293.23823373
0.05,0.45,0.85,8956827.354756381
0.05,0.45,0.9,8946242.15115306
0.05,0.45,0.95,9005375.69403791
