INDPB,MUTPB,CXPB,AEP
0.05,0.5,0.3,14009587.705487158
0.05,0.5,0.35,14027805.754883388
0.05,0.5,0.4,13383861.554624375
0.05,0.5,0.45,14246456.671501858
0.05,0.5,0.5,14365496.590359023
0.05,0.5,0.55,14409794.634229496
0.05,0.5,0.6,14472231.139927097
0.05,0.5,0.65,14616320.042996122
0.05,0.5,0.7,14579598.289301341
0.05,0.5,0.75,14638192.152011007
0.05,0.5,0.8,13676067.008828668
0.05,0.5,0.85,14760948.14585378
0.05,0.5,0.9,14722151.543793917
0.05,0.5,0.95,12195106.61254765
0.05,0.5,1.0,9243779.635062717
0.05,0.55,0.05,7395686.257597771
0.05,0.55,0.1,6597801.680548895
0.05,0.55,0.15,4416518.793585012
0.05,0.55,0.2,11757316.994773868
0.05,0.55,0.25,3516887.2382574566
0.05,0.55,0.3,11065939.019684678
0.05,0.55,0.35,13187839.067668151
0.05,0.55,0.4,11485293.5035709
0.05,0.55,0.45,12220811.268031564
0.05,0.55,0.5,12456383.489695821
0.05,0.55,0.55,14448339.407244347
0.05,0.55,0.6,14585911.386505472
0.05,0.55,0.65,14567317.561061509
0.05,0.55,0.7,13579528.710240085
0.05,0.55,0.75,13618883.594396278
0.05,0.55,0.8,14734612.319384422
0.05,0.55,0.85,14702920.50298886
0.05,0.55,0.9,14684736.410812661
0.05,0.55,0.95,11264751.88519359
0.05,0.55,1.0,9187703.098097041
0.05,0.6,0.05,6277056.217051476
0.05,0.6,0.1,9469334.57541129
0.05,0.6,0.15,7516818.596747365
0.05,0.6,0.2,8834563.074052986
0.05,0.6,0.25,12021144.872713014
0.05,0.6,0.3,14058592.061079293
0.05,0.6,0.35,14102492.716184564
0.05,0.6,0.4,13300601.06929046
0.05,0.6,0.45,13325807.040490698
0.05,0.6,0.5,14492571.26731937
0.05,0.6,0.55,14368037.293627476
0.05,0.6,0.6,13455191.537745006
0.05,0.6,0.65,14554154.51084417
0.05,0.6,0.7,14597304.906088036
0.05,0.6,0.75,14677744.560358457
0.05,0.6,0.8,14692028.212584332
0.05,0.6,0.85,14697192.548989177
0.05,0.6,0.9,14738550.93189891
0.05,0.6,0.95,13313339.241398439
0.05,0.6,1.0,9429786.376135277
0.05,0.65,0.05,8298032.757406956
0.05,0.65,0.1,6467911.484949209
0.05,0.65,0.15,7889091.79958125
0.05,0.65,0.2,10721307.773388818
0.05,0.65,0.25,10922348.776540149
0.05,0.65,0.3,13117716.671186991
0.05,0.65,0.35,11065159.915912297
0.05,0.65,0.4,12173549.775650011
0.05,0.65,0.45,14296233.156333223
0.05,0.65,0.5,14449609.397502806
0.05,0.65,0.55,13470185.42411154
0.05,0.65,0.6,14520523.104304072
0.05,0.65,0.65,14552818.996171284
0.05,0.65,0.7,14585831.806362374
0.05,0.65,0.75,14655697.784440765
0.05,0.65,0.8,14679134.380939297
0.05,0.65,0.85,14620953.246845527
0.05,0.65,0.9,14846942.221850503
0.05,0.65,0.95,11229988.965552049
0.05,0.65,1.0,9188900.985064898
0.05,0.7,0.05,6397207.187488837
0.05,0.7,0.1,7247986.711366415
0.05,0.7,0.15,493067.7743488513
